target_id,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,direction,condition,control
MGG_03441T0,2068,466.3,6.176,0.2869,0.009422,up_in_Guy11,Guy11M,Guy11
MGG_05505T0,12379,467.1,6.793,0.2871,0.009448,up_in_Guy11,Guy11M,Guy11
MGG_04522T0,9838,469.5,6.546,0.2871,0.009535,up_in_Guy11,Guy11M,Guy11
MGG_16636T0,1721,396.2,0.2374,0.2872,0.007079,up_in_Guy11M,Guy11M,Guy11
MGG_08428T0,3573,397.6,0.3608,0.2872,0.007123,up_in_Guy11M,Guy11M,Guy11
MGG_16859T0,12466,403,0.2874,0.2872,0.007296,up_in_Guy11M,Guy11M,Guy11
MGG_01770T0,6244,397.2,0.1956,0.2876,0.00711,up_in_Guy11M,Guy11M,Guy11
MGG_05902T0,2242,402.7,0.205,0.2876,0.007284,up_in_Guy11M,Guy11M,Guy11
MGG_07119T0,12431,469.5,6.005,0.2876,0.009532,up_in_Guy11,Guy11M,Guy11
MGG_05438T0,8728,470.7,6.538,0.2876,0.009576,up_in_Guy11,Guy11M,Guy11
MGG_08289T0,7233,402.4,0.2316,0.2881,0.007275,up_in_Guy11M,Guy11M,Guy11
MGG_02303T0,3870,469.4,5.886,0.2882,0.009529,up_in_Guy11,Guy11M,Guy11
MGG_07789T0,10312,407.3,0.2227,0.2883,0.00743,up_in_Guy11M,Guy11M,Guy11
MGG_01438T0,5738,471.9,5.918,0.2883,0.00962,up_in_Guy11,Guy11M,Guy11
MGG_06327T0,1778,402,0.2171,0.2885,0.007263,up_in_Guy11M,Guy11M,Guy11
MGG_15741T0,3592,400.8,0.2239,0.2887,0.007225,up_in_Guy11M,Guy11M,Guy11
MGG_06695T0,12129,473,6.234,0.2888,0.009657,up_in_Guy11,Guy11M,Guy11
MGG_11991T0,12497,401.8,0.1949,0.289,0.007255,up_in_Guy11M,Guy11M,Guy11
MGG_04739T0,3532,399.8,0.2007,0.2891,0.007192,up_in_Guy11M,Guy11M,Guy11
MGG_16502T0,11170,408.8,0.2803,0.2893,0.00748,up_in_Guy11M,Guy11M,Guy11
MGG_09537T0,2691,400.8,0.2301,0.2896,0.007225,up_in_Guy11M,Guy11M,Guy11
MGG_09441T0,3914,409.8,0.2249,0.2898,0.007513,up_in_Guy11M,Guy11M,Guy11
MGG_09976T0,10737,410.8,0.2337,0.2901,0.007544,up_in_Guy11M,Guy11M,Guy11
MGG_10928T0,9455,412.2,0.2391,0.291,0.007588,up_in_Guy11M,Guy11M,Guy11
MGG_05452T0,1786,412.9,0.2392,0.2911,0.007613,up_in_Guy11M,Guy11M,Guy11
MGG_04177T0,10501,415.3,0.2251,0.2916,0.00769,up_in_Guy11M,Guy11M,Guy11
MGG_16664T0,12133,415.1,0.3459,0.2921,0.007684,up_in_Guy11M,Guy11M,Guy11
MGG_14211T0,450,416.5,0.3118,0.2922,0.007729,up_in_Guy11M,Guy11M,Guy11
MGG_11785T0,5231,478.7,6.574,0.2922,0.009861,up_in_Guy11,Guy11M,Guy11
MGG_03462T0,12455,479.3,6.379,0.2923,0.009884,up_in_Guy11,Guy11M,Guy11
MGG_02294T0,11286,477,5.828,0.2924,0.0098,up_in_Guy11,Guy11M,Guy11
MGG_04441T0,9263,477.7,5.974,0.2925,0.009826,up_in_Guy11,Guy11M,Guy11
MGG_05028T0,10587,418.2,0.2224,0.2927,0.007786,up_in_Guy11M,Guy11M,Guy11
MGG_01689T0,4276,478.4,6.062,0.2927,0.009853,up_in_Guy11,Guy11M,Guy11
MGG_06760T0,11551,415,0.2279,0.2928,0.007679,up_in_Guy11M,Guy11M,Guy11
MGG_05611T0,1862,424.6,0.2248,0.2931,0.007995,up_in_Guy11M,Guy11M,Guy11
MGG_10200T0,10769,418.2,0.2633,0.2935,0.007785,up_in_Guy11M,Guy11M,Guy11
MGG_07613T0,6078,425.6,0.2315,0.2935,0.00803,up_in_Guy11M,Guy11M,Guy11
MGG_15385T0,4384,421,0.2944,0.2936,0.007877,up_in_Guy11M,Guy11M,Guy11
MGG_15032T0,6165,424.4,0.2349,0.2936,0.007988,up_in_Guy11M,Guy11M,Guy11
MGG_08627T0,7808,420.4,0.2337,0.2937,0.007856,up_in_Guy11M,Guy11M,Guy11
MGG_04911T0,1490,421.8,0.2186,0.2938,0.007903,up_in_Guy11M,Guy11M,Guy11
MGG_17922T0,10271,419.9,0.2477,0.2939,0.00784,up_in_Guy11M,Guy11M,Guy11
MGG_17960T0,9439,424.2,0.2251,0.2943,0.007984,up_in_Guy11M,Guy11M,Guy11
MGG_07534T0,300,423.8,0.2284,0.2945,0.007968,up_in_Guy11M,Guy11M,Guy11
MGG_05216T0,9683,484.7,5.977,0.2948,0.01008,up_in_Guy11,Guy11M,Guy11
MGG_05948T0,7967,485.5,6.595,0.295,0.01011,up_in_Guy11,Guy11M,Guy11
MGG_03913T0,7980,423.8,0.2839,0.2953,0.007967,up_in_Guy11M,Guy11M,Guy11
MGG_09846T0,3565,484.6,6.423,0.2953,0.01007,up_in_Guy11,Guy11M,Guy11
MGG_08737T0,1009,486.4,6.267,0.2953,0.01014,up_in_Guy11,Guy11M,Guy11
MGG_00464T0,7817,488,6.082,0.2957,0.0102,up_in_Guy11,Guy11M,Guy11
MGG_01553T0,8334,484.6,6.326,0.2959,0.01007,up_in_Guy11,Guy11M,Guy11
EFMOT00000000283,12983,487.8,5.541,0.2961,0.01019,up_in_Guy11,Guy11M,Guy11
MGG_10713T0,10373,484.5,6.207,0.2966,0.01007,up_in_Guy11,Guy11M,Guy11
MGG_15628T1,3771,484.4,6.314,0.297,0.01007,up_in_Guy11,Guy11M,Guy11
MGG_01404T0,158,490.8,8.217,0.298,0.0103,up_in_Guy11,Guy11M,Guy11
EFMOT00000000174,12896,491.6,5.99,0.2981,0.01033,up_in_Guy11,Guy11M,Guy11
MGG_09798T0,7650,493.3,5.961,0.2987,0.01039,up_in_Guy11,Guy11M,Guy11
MGG_02442T0,11860,495.8,5.992,0.2987,0.01048,up_in_Guy11,Guy11M,Guy11
MGG_12775T0,8071,492.8,6.709,0.2988,0.01038,up_in_Guy11,Guy11M,Guy11
MGG_16248T0,11865,494.5,6.229,0.2993,0.01044,up_in_Guy11,Guy11M,Guy11
MGG_04425T0,586,495.7,5.974,0.2993,0.01048,up_in_Guy11,Guy11M,Guy11
MGG_10583T0,3183,431.8,0.2285,0.2994,0.008234,up_in_Guy11M,Guy11M,Guy11
MGG_02246T0,5838,431.3,0.255,0.2996,0.008218,up_in_Guy11M,Guy11M,Guy11
MGG_06704T0,2670,495.5,5.846,0.2997,0.01047,up_in_Guy11,Guy11M,Guy11
MGG_08735T0,10877,500.4,5.643,0.2998,0.01065,up_in_Guy11,Guy11M,Guy11
MGG_09922T0,7407,500,5.776,0.3,0.01064,up_in_Guy11,Guy11M,Guy11
MGG_15347T0,1719,498.3,6.632,0.3001,0.01058,up_in_Guy11,Guy11M,Guy11
MGG_09766T0,8602,499,6.014,0.3002,0.0106,up_in_Guy11,Guy11M,Guy11
EFMOT00000000123,12852,499.9,5.261,0.3005,0.01064,up_in_Guy11,Guy11M,Guy11
MGG_00660T0,4659,498.2,5.9,0.3006,0.01057,up_in_Guy11,Guy11M,Guy11
MGG_07048T0,10581,509.7,5.746,0.3013,0.011,up_in_Guy11,Guy11M,Guy11
MGG_02451T0,5416,511.7,7.979,0.3014,0.01108,up_in_Guy11,Guy11M,Guy11
MGG_02927T0,1805,512.9,6.104,0.3014,0.01112,up_in_Guy11,Guy11M,Guy11
MGG_01160T0,4082,434.2,0.2303,0.3015,0.008315,up_in_Guy11M,Guy11M,Guy11
MGG_03123T0,10244,511.1,5.767,0.3015,0.01106,up_in_Guy11,Guy11M,Guy11
MGG_16240T0,5727,513.5,6.071,0.3015,0.01115,up_in_Guy11,Guy11M,Guy11
MGG_15558T0,5771,512.5,9.029,0.3016,0.01111,up_in_Guy11,Guy11M,Guy11
MGG_16668T0,7537,506,6.624,0.3017,0.01086,up_in_Guy11,Guy11M,Guy11
MGG_01248T0,8503,509.6,6.213,0.3017,0.011,up_in_Guy11,Guy11M,Guy11
MGG_03307T0,5336,435.8,0.2275,0.3018,0.00837,up_in_Guy11M,Guy11M,Guy11
MGG_05791T0,8367,511,4.741,0.3019,0.01105,up_in_Guy11,Guy11M,Guy11
MGG_16012T0,12338,503.3,6.83,0.3021,0.01076,up_in_Guy11,Guy11M,Guy11
MGG_15768T0,3775,503.9,5.919,0.3021,0.01078,up_in_Guy11,Guy11M,Guy11
MGG_09347T0,1542,504.5,6.256,0.3021,0.01081,up_in_Guy11,Guy11M,Guy11
MGG_00966T0,6829,505.7,6.438,0.3021,0.01085,up_in_Guy11,Guy11M,Guy11
MGG_13001T0,3668,509.3,6.165,0.3021,0.01099,up_in_Guy11,Guy11M,Guy11
MGG_05020T0,5412,507.2,7.311,0.3024,0.01091,up_in_Guy11,Guy11M,Guy11
MGG_03966T0,3167,435.7,0.2272,0.3025,0.008364,up_in_Guy11M,Guy11M,Guy11
MGG_06077T0,12645,505.5,6.197,0.3025,0.01084,up_in_Guy11,Guy11M,Guy11
MGG_12637T0,7559,508.6,6.419,0.3026,0.01096,up_in_Guy11,Guy11M,Guy11
MGG_18123T0,4836,515.2,6.202,0.3026,0.01121,up_in_Guy11,Guy11M,Guy11
EFMOT00000000143,12869,508.1,4.798,0.3027,0.01094,up_in_Guy11,Guy11M,Guy11
MGG_16142T0,10186,509.3,4.788,0.3027,0.01099,up_in_Guy11,Guy11M,Guy11
MGG_15154T0,3496,516,5.688,0.3027,0.01124,up_in_Guy11,Guy11M,Guy11
MGG_01569T0,2469,516.6,5.808,0.3027,0.01126,up_in_Guy11,Guy11M,Guy11
MGG_03350T0,109,517.3,6.076,0.3029,0.01129,up_in_Guy11,Guy11M,Guy11
MGG_09858T0,7506,518,5.791,0.3029,0.01131,up_in_Guy11,Guy11M,Guy11
MGG_14812T0,13295,438.2,0.2324,0.303,0.008449,up_in_Guy11M,Guy11M,Guy11
MGG_12983T0,8767,439.1,0.2319,0.3033,0.008479,up_in_Guy11M,Guy11M,Guy11
MGG_12617T0,12754,437.8,0.2427,0.3035,0.008438,up_in_Guy11M,Guy11M,Guy11
MGG_14715T0,9481,520,6.231,0.3038,0.01139,up_in_Guy11,Guy11M,Guy11
MGG_04028T0,5171,519.8,5.186,0.3042,0.01138,up_in_Guy11,Guy11M,Guy11
MGG_17091T0,977,441.1,0.2144,0.305,0.008548,up_in_Guy11M,Guy11M,Guy11
MGG_05682T0,11957,523.9,6.245,0.3053,0.01154,up_in_Guy11,Guy11M,Guy11
MGG_11575T0,7922,523.1,6.085,0.3057,0.01151,up_in_Guy11,Guy11M,Guy11
MGG_02952T0,2519,523.7,5.966,0.3057,0.01153,up_in_Guy11,Guy11M,Guy11
MGG_03279T0,4892,522.6,6.175,0.3058,0.01149,up_in_Guy11,Guy11M,Guy11
MGG_04320T0,3480,525.3,5.729,0.3061,0.01159,up_in_Guy11,Guy11M,Guy11
MGG_17919T0,3661,443.4,0.2127,0.3069,0.008624,up_in_Guy11M,Guy11M,Guy11
MGG_12423T0,7908,527.8,6.009,0.308,0.01169,up_in_Guy11,Guy11M,Guy11
MGG_07273T0,2703,529.9,6.16,0.309,0.01177,up_in_Guy11,Guy11M,Guy11
MGG_17101T0,5128,531.3,4.666,0.3091,0.01183,up_in_Guy11,Guy11M,Guy11
MGG_09080T0,8187,531.1,6.138,0.3095,0.01182,up_in_Guy11,Guy11M,Guy11
MGG_10680T0,12301,529.9,6.104,0.3096,0.01177,up_in_Guy11,Guy11M,Guy11
MGG_13762T0,2144,447.5,0.2305,0.3111,0.008766,up_in_Guy11M,Guy11M,Guy11
MGG_15697T0,3067,534.7,7.076,0.3114,0.01196,up_in_Guy11,Guy11M,Guy11
MGG_03738T0,12536,450.8,0.2286,0.3118,0.008879,up_in_Guy11M,Guy11M,Guy11
MGG_15662T0,13249,534.7,4.489,0.3119,0.01195,up_in_Guy11,Guy11M,Guy11
MGG_01430T0,8495,536,5.523,0.3121,0.01201,up_in_Guy11,Guy11M,Guy11
