sample1,sample2,name1,time1,rep1,name2,time2,rep2,pearson_cor,spearman_cor,comparison_type
MST7WT_4_2,mst7_2_1,MST7WT,4,2,mst7,2,1,0.8565772850515266,0.8712523203781474,"Different strains, different time"
MST7WT_24_2,mst7_2_1,MST7WT,24,2,mst7,2,1,0.5630412530377443,0.5708151303366411,"Different strains, different time"
MST7PM_0_2,mst7_2_1,MST7PM,0,2,mst7,2,1,0.64188371588598,0.6498268697564136,"Different strains, different time"
MST7PM_2_2,mst7_2_1,MST7PM,2,2,mst7,2,1,0.9395415920325794,0.9384476442817193,"Different strain, same time"
MST7PM_4_2,mst7_2_1,MST7PM,4,2,mst7,2,1,0.86737728845325,0.8793587414028398,"Different strains, different time"
MST7PM_24_2,mst7_2_1,MST7PM,24,2,mst7,2,1,0.6660980204672209,0.6786617240333241,"Different strains, different time"
MST7PD_0_2,mst7_2_1,MST7PD,0,2,mst7,2,1,0.6389833006047478,0.6485853663418645,"Different strains, different time"
MST7PD_2_2,mst7_2_1,MST7PD,2,2,mst7,2,1,0.9399848035194458,0.9376162955742837,"Different strain, same time"
MST7PD_4_2,mst7_2_1,MST7PD,4,2,mst7,2,1,0.8889656830377839,0.8984943244015535,"Different strains, different time"
Guy11_0_2,mst7_2_1,Guy11,0,2,mst7,2,1,0.7065503047361966,0.7119152202377377,"Different strains, different time"
Guy11_2_2,mst7_2_1,Guy11,2,2,mst7,2,1,0.9216918443289984,0.9223956147747294,"Different strain, same time"
Guy11_4_2,mst7_2_1,Guy11,4,2,mst7,2,1,0.8261681235472852,0.8428181489465093,"Different strains, different time"
Guy11_24_2,mst7_2_1,Guy11,24,2,mst7,2,1,0.5618744529721246,0.5820555594308296,"Different strains, different time"
mst7_0_3,mst7_2_1,mst7,0,3,mst7,2,1,0.8215701067430925,0.8168336476972211,"Same strain, different time"
mst7_2_3,mst7_2_1,mst7,2,3,mst7,2,1,0.9684656107877796,0.9671141939575626,Biological replicates
mst7_4_3,mst7_2_1,mst7,4,3,mst7,2,1,0.9821279031159937,0.9827703843017132,"Same strain, different time"
mst7_24_3,mst7_2_1,mst7,24,3,mst7,2,1,0.8080376725689848,0.8086498049005716,"Same strain, different time"
MST7WT_0_3,mst7_2_1,MST7WT,0,3,mst7,2,1,0.7022362786445516,0.7071140094347945,"Different strains, different time"
MST7WT_2_3,mst7_2_1,MST7WT,2,3,mst7,2,1,0.9461722478303283,0.9448817415662715,"Different strain, same time"
MST7WT_4_3,mst7_2_1,MST7WT,4,3,mst7,2,1,0.8812894761949761,0.892977350238935,"Different strains, different time"
MST7WT_24_3,mst7_2_1,MST7WT,24,3,mst7,2,1,0.6422699065112123,0.6539338225565148,"Different strains, different time"
MST7PM_0_3,mst7_2_1,MST7PM,0,3,mst7,2,1,0.6904288403169869,0.6979649632822024,"Different strains, different time"
MST7PM_2_3,mst7_2_1,MST7PM,2,3,mst7,2,1,0.9435987777928527,0.9429025317371383,"Different strain, same time"
MST7PM_4_3,mst7_2_1,MST7PM,4,3,mst7,2,1,0.8707067499372162,0.8828679330731403,"Different strains, different time"
MST7PM_24_3,mst7_2_1,MST7PM,24,3,mst7,2,1,0.5613592630059135,0.5731944223167824,"Different strains, different time"
